bioID,pos,height,weight,college,collegeOther,birthDate,age
azizle01w,F,75.0,177.0,Syracuse,,1979-02-28,44.62
azzije01w,G,68.0,143.0,Stanford,,1968-08-31,55.11
badertr01w,G,64.0,125.0,Boise State,,1973-02-26,50.62
bakerla01w,G,67.0,140.0,California,,1968-12-18,54.81
bakersh01w,G,68.0,125.0,Georgia,,1982-12-03,40.85
balesal01w,C,79.0,218.0,Duke,,1985-04-04,38.52
banchrh01w,C,75.0,185.0,Washington,,1973-05-01,50.44
baranel01w,F,77.0,182.0,Academy of Sport Moscow,,1972-01-28,51.7
barksla01w,G,70.0,156.0,North Carolina,,1979-10-03,44.02
barnead01w,F,71.0,165.0,Arizona,,1977-02-03,46.68
barnequ01w,C,77.0,185.0,Indiana,,1976-09-26,47.04
bassmi01w,F,75.0,184.0,Duke,,1983-12-02,39.86
batkosu01w,C,76.0,203.0,,,1980-12-17,42.81
batteja01w,F,73.0,163.0,Notre Dame,,1983-03-26,40.54
battlas01w,F,72.0,170.0,Connecticut,,1982-05-31,41.36
bauerca01w,F-C,76.0,180.0,Montana State,,1972-06-27,51.29
beardal01w,G-F,71.0,160.0,Duke,,1982-05-14,41.41
becenry01w,G,66.0,140.0,Arizona State,Scottsdale CC (JC),1971-08-11,52.17
beckki01w,G,68.0,125.0,George Washington,,1985-12-27,37.79
bellje01w,F,73.0,160.0,Florida International,,1970-05-26,53.38
bennije01w,F,75.0,185.0,Vanderbilt,,1981-10-06,42.01
berezva01w,C,76.0,195.21097358730538,Rice,,1986-04-10,37.5
berggas01w,G,70.0,170.0,Illinois,,1976-11-18,46.89
berrysh01w,F-C,75.0,175.0,Iowa,,1967-07-06,56.27
berthlu01w,F-C,74.0,188.0,Old Dominion,,1978-03-31,45.53
berubca01w,F,72.0,155.0,Connecticut,,1975-09-02,48.11
beviltu01w,G,67.0,145.0,,,1972-07-19,51.23
bibbyje01w,G,67.0,139.0,,,1979-08-23,44.13
bibrzag01w,G-F,74.0,168.0,,,1982-10-21,40.97
birdsu01w,G,69.0,150.0,Connecticut,,1980-10-16,42.98
bishoab01w,F-C,74.0,179.09247893275918,,,1988-11-29,34.86
bjedoni01w,C,78.0,195.0,,,1971-05-18,52.4
bjorkan01w,F,72.0,166.0,Tennessee,,1989-07-14,34.24
bjorkte01w,C,76.0,175.0,Colorado,,1982-06-29,41.28
blackch01w,C,77.0,188.0,Duke,,1985-11-12,37.91
blackde01w,G,63.0,124.0,St. Joseph's,,1966-07-29,57.2
bladerh01w,G,67.0,138.0,Vanderbilt,,1972-10-29,50.95
blodgci01w,G,69.0,130.0,Maine,,1975-12-23,47.8
blueni01w,G,68.0,163.0,UCLA,,1984-03-29,39.53
blueoc01w,F,73.0,163.0,Miami (FL),,1976-08-18,47.15
bobbish01w,G,62.0,130.0,Tennessee,,1985-12-06,37.85
boddiwh01w,G,69.0,149.0,Auburn,,1987-01-23,36.71
boldeba01w,G,74.0,180.0,Louisiana Tech,,1969-06-16,54.32
boltoru01w,G,69.0,150.0,Auburn,,1967-05-25,56.38
bondla01w,G,67.0,132.0,Missouri,,1984-02-13,39.66
bonfisu01w,G,68.0,145.0,,,1974-09-08,49.09
bonnede01w,G,76.0,136.0,Auburn,,1987-08-21,36.14
bookeka01w,C,73.0,170.0,Vanderbilt,,1965-04-10,58.5
bosweca01w,F-G,72.0,168.0,Illinois State,,1962-11-10,60.92
bouceje01w,G,68.0,130.0,Virginia,,1973-12-20,49.81
bouchke01w,F,74.0,163.0,,,1968-01-13,55.74
bowenli01w,G,67.0,145.0,Michigan State,,1983-10-25,39.96
boydca01w,F,73.0,172.0,,,1975-10-31,47.95
bradlki01w,F-C,77.0,185.0,Oral Roberts,,1974-08-26,49.13
branzal01w,F,76.0,180.0,Florida International,,1971-07-17,52.24
branzge01w,F,76.0,175.0,Florida International,,1976-07-25,47.21
braxtja01w,F-C,75.0,178.0,Louisiana Tech,,1973-10-06,50.01
braxtka01w,F-C,78.0,210.0,Georgia,,1983-02-18,40.64
brazian01w,F,74.0,169.0,Texas Tech,,1976-09-18,47.06
brcanra01w,C,80.0,198.0,none,,1967-04-15,56.49
brelaje01w,F,75.0,170.0,North Carolina,,1988-02-23,35.63
bristre01w,G,70.0,139.0,Arizona,,1978-02-10,45.66
brogami01w,F,73.0,177.0,,,1973-02-08,50.67
brondsa01w,G,67.0,136.0,U. Western Sydney,,1968-08-20,55.14
brownci01w,F-C,74.0,183.0,Long Beach State,,1965-03-16,58.57
brownco01w,G,69.0,150.0,North Carolina,,1980-10-21,42.97
browned01w,G-F,69.0,163.0,Texas,,1978-07-01,45.28
brownki01w,G,70.0,134.0,Georgia,,1979-01-13,44.74
brownla01w,C,75.0,180.0,Louisiana Tech,,1972-12-01,50.86
brownle01w,F,72.0,166.0,Virginia,,1977-06-03,46.35
brownru01w,F,74.0,175.0,Furman,,1972-05-05,51.43
brumfma01w,G,68.0,133.0,Rice,,1978-06-06,45.35
brungje01w,F,73.0,165.0,Penn State,,1982-04-16,41.49
brunsre01w,F,75.0,175.0,Georgetown,,1981-12-11,41.83
bullevi01w,F,75.0,185.0,Maryland,,1967-10-04,56.02
burgean01w,G,67.0,141.0,,,1969-04-10,54.5
burgehe01w,C,77.0,195.0,Virginia,,1971-11-11,51.92
burgehe02w,F,77.0,180.0,Virginia,,1971-11-11,51.92
burgeli01w,F,73.0,173.0,Alabama,,1969-07-27,54.21
burraal01w,C,75.0,218.0,Louisiana Tech,,1975-06-23,48.3
burseja01w,C,77.0,199.0,Tulane,,1979-05-19,44.4
buttsta01w,G,71.0,160.0,Tennessee,,1982-03-10,41.59
byearla01w,G-F,71.0,206.0,DePaul,NE Oklahoma A&M (JC),1973-08-12,50.16
byrdla01w,G,66.0,131.0,Eastern Michigan,,1960-02-01,63.69
cabezli01w,F-C,75.0,178.0,Central Florida CC,,1973-10-25,49.96
cainke01w,C,78.0,220.0,Tennessee,,1989-05-16,34.4
camba01w,C,80.0,215.0,none,,1991-08-18,32.15
campbed01w,G,68.0,152.0,Texas,,1968-11-26,54.87
campbmi01w,F-C,77.0,170.0,USC,,1974-02-20,49.64
cantydo01w,G-F,69.0,162.0,Alabama,,1977-03-02,46.61
careyja01w,G,66.0,135.0,Texas,,1981-03-12,42.58
carsoes01w,G-F,72.0,165.0,Rutgers,,1986-07-28,37.2
carteam01w,F,74.0,185.0,Louisiana State,,1982-06-21,41.31
cartede01w,G-F,72.0,185.0,Georgia,,1972-01-03,51.77
cartesy01w,G,66.0,137.26615783965204,Texas A&M,,1990-11-18,32.9
cashsw01w,F,73.0,162.0,Connecticut,,1979-09-22,44.05
cassija01w,C,75.0,187.0,Maine,,1978-09-12,45.08
castriz01w,F-G,72.0,140.0,,,1982-03-13,41.58
catchta01w,F,73.0,167.0,Tennessee,,1979-07-21,44.22
caufila01w,G,69.0,159.0,Oklahoma,,1980-05-25,43.38
cebriel01w,C,77.0,190.0,none,,1971-02-07,52.67
chacoke01w,G,69.0,151.0,George Mason,,1974-12-21,48.8
chambco01w,G,69.0,160.0,Georgia,,1985-07-06,38.26
chanequ01w,G,71.0,160.0,Louisiana State,,1986-04-14,37.49
chapmji01w,C,75.0,206.0,Indiana,,1979-11-04,43.93
charlda01w,F-C,75.0,141.0,Tennessee,,1968-11-22,54.88
charlti01w,C,76.0,198.0,Connecticut,,1988-12-05,34.85
chaseso01w,G,69.0,150.0,Maryland,,1976-03-09,47.59
cheekjo01w,F,73.0,201.0,Duke,,1988-06-25,35.29
cheruam01w,G,70.0,140.0,Indiana,,1970-04-18,53.48
chestfe01w,F,75.0,180.0,DePaul,,1988-03-24,35.55
choneka01w,C,75.0,180.0,North Carolina State,,1981-01-11,42.75
chriska01w,F,74.0,171.0,UC Santa Barbara,,1980-11-16,42.9
chriska02w,F,72.0,180.0,Duke,,1989-09-11,34.08
chrissh01w,F,73.0,170.0,Arkansas,,1982-02-15,41.65
cironkr01w,G,68.0,150.0,Illinois State,,1987-05-19,36.4
clarkal01w,F,70.0,167.0,Middle Tennessee State,,1987-07-07,36.26
clarkma01w,F-C,75.0,183.96552118275574,Arizona,,1971-01-01,52.77
clearmi01w,G,66.0,126.0,Australian Institute of Sport,,1974-07-16,49.24
clinest01w,G,65.0,148.0,UC Santa Barbara,,1978-04-22,45.47
coggicl01w,G,71.0,170.0,Kansas State,,1985-05-19,38.4
cokermo01w,F,73.0,180.0,Old Dominion,,1982-11-28,40.87
colemco01w,F,72.0,170.0,Ohio State,,1981-04-13,42.49
colemma01w,G-F,73.0,160.0,Maryland,,1987-01-04,36.77
colleka01w,G-F,70.0,145.0,Maryland,,1971-03-17,52.57
colsosy01w,G,68.0,140.0,Texas A&M,,1989-08-06,34.18
compame01w,G,69.0,143.0,St. Joseph's,,1975-09-18,48.06
congran01w,F-C,74.0,183.0,Mercer,,1970-06-03,53.36
conklab01w,F,75.0,175.0,Tennessee,,1975-02-10,48.67
consuca01w,G,68.0,144.0,Iowa,,1979-03-04,44.61
coopeca01w,C,76.0,176.0,Purdue,,1979-02-05,44.68
coopecy01w,G,70.0,150.0,USC,,1963-04-14,60.49
crawlsy01w,F-C,77.0,187.0,North Carolina,,1972-09-27,51.04
crockda01w,F,73.0,158.0,Baylor,,1981-02-11,42.66
crockwi01w,F,74.0,215.0,Connecticut,,1984-07-05,39.27
cronika01w,G,72.0,155.0,Colorado State,,1977-09-08,46.09
crosssh01w,G,70.0,155.0,Tennessee,,1983-09-07,40.09
crumpca01w,G,70.0,158.0,Alabama,,1962-10-29,60.95
cummiki01w,F,75.0,188.0,Long Beach State,,1963-08-29,60.12
cunnibe01w,G,72.0,163.0,Notre Dame,,1975-06-05,48.35
cunnida01w,F,72.0,187.0,Rutgers,,1980-01-27,43.7
cunnima01w,F-C,76.0,188.9039733958395,Vanderbilt,,1973-05-20,50.39
currimo01w,F,72.0,177.0,Duke,,1983-02-25,40.62
curryed01w,G,64.0,138.0,Oregon,,1979-07-09,44.26
dalesst01w,G-F,72.0,155.0,Oklahoma,,1979-09-05,44.1
daleygr01w,G,66.0,147.0,Tulane,,1978-06-26,45.29
darlihe01w,G,66.0,164.0,Penn State,,1978-08-29,45.12
davenje01w,C,77.0,215.0,Ohio State,,1985-06-24,38.3
davisbr01w,G,72.0,172.0,Oregon,,1983-01-01,40.77
daviscl01w,F,73.0,165.0,Texas,,1967-06-04,56.35
davisde01w,G,67.0,138.0,Vanderbilt,,1984-11-08,38.92
davisla01w,G,67.0,145.0,Tennessee,,1974-10-08,49.01
davista01w,F,70.0,160.0,Washington,,1972-09-25,51.04
davista02w,G,71.0,158.8518598874394,Florida State,,1987-06-07,36.34
dedenka01w,F,76.0,170.0,Washington,,1969-09-23,54.05
deforan01w,G,70.0,160.0,Nebraska,,1976-04-14,47.49
derevje01w,G,70.0,140.0,George Mason,,1982-03-29,41.54
desouer01w,F-C,77.0,190.0,,,1982-03-03,41.61
dickeke01w,F,71.0,165.0,Texas Tech,,1978-04-20,45.48
dillata01w,G,69.0,154.0,Texas,,1981-05-06,42.43
dixonin01w,C,75.0,190.10763961713863,California,,1972-09-16,51.07
dixonta01w,G,69.0,148.0,Kansas,,1975-12-14,47.82
doagela01w,G,66.0,137.0,Nebraska,,1975-05-15,48.41
domonna01w,G,70.0,132.0,Iowa,,1975-09-28,48.04
donapbe01w,F-C,74.0,195.0,Stanford,,1980-08-27,43.12
doronsh01w,G,69.0,145.0,Maryland,,1985-04-01,38.53
dossaci01w,C,77.0,187.0,,,1975-01-31,48.69
douglka01w,G-F,72.0,167.0,Purdue,,1979-05-07,44.43
duffyme01w,G,67.0,135.0,Notre Dame,,1984-07-13,39.24
dunlavi01w,F,73.0,160.0,Kentucky,,1989-09-19,34.06
dupreca01w,F,74.0,162.0,Temple,,1984-08-16,39.15
dydekka01w,F-C,79.0,190.0,Evangel,,1970-03-21,53.56
edwarmi01w,G,69.0,150.0,Rutgers,,1966-03-06,57.6
edwarsi01w,C,76.0,164.0,Iowa,,1973-11-17,49.9
edwarte01w,G-F,71.0,155.0,Georgia,,1964-07-09,59.26
edwarto01w,G,70.0,160.0,Tennessee,,1968-03-13,55.58
elysh01w,F,74.0,182.0,Tennessee,,1983-08-09,40.17
enissh01w,F-C,73.0,185.0,Alabama,,1974-12-03,48.85
erbsu01w,C,78.0,240.0,North Carolina State,,1977-07-25,46.21
ervinla01w,F,76.0,171.0,Arkansas,,1985-03-24,38.55
evansda01w,G,67.0,141.45725035403996,James Madison,,1989-06-30,34.28
evansde01w,G,64.0,125.0,Virginia,,1970-10-11,53.0
fallotr01w,G-F,75.0,165.0,,,1972-07-23,51.22
farriba01w,C-F,75.0,200.0,Tulane,,1976-09-10,47.08
feastal01w,F,71.0,168.0,Harvard,,1976-02-11,47.66
feifesu01w,G,73.0,162.0,,,1979-01-29,44.7
feldeja01w,F,73.0,172.21821951485896,Southern Mississippi,,1969-10-16,53.98
ferdima01w,G,69.0,153.0,Louisiana State,,1978-10-13,44.99
fernama01w,G,71.0,138.0,,,1981-12-21,41.8
ferrama01w,F,75.0,190.0,,,1972-02-11,51.66
figgsuk01w,G,69.0,142.0,Purdue,,1977-03-31,46.53
fijalis01w,C,77.0,200.0,Colorado,,1972-05-23,51.38
firsool01w,C,78.0,215.0,Kansas State,,1976-04-23,47.47
floremi01w,G,66.0,125.0,Stanford,,1977-10-19,45.98
flukety01w,C,77.0,209.0,Tennessee,,1984-12-27,38.79
folklkr01w,F,74.0,190.0,Stanford,,1975-12-19,47.81
fordch01w,F,75.0,198.0,Louisiana Tech,,1981-06-06,42.35
fordki01w,G-F,70.0,153.0,Georgia Tech,,1975-04-04,48.52
fordst01w,F,74.0,185.0,Georgia,,1969-01-14,54.74
fosteto01w,F,73.0,175.0,Iowa,,1971-10-16,51.99
fowlesy01w,C,78.0,200.0,Louisiana State,,1985-10-06,38.01
francde01w,F,70.0,193.0,Iowa State,,1975-08-24,48.13
frankaq01w,G,64.0,154.0,Texas A&M,,1985-09-29,38.03
frazeme01w,F,75.0,191.0,Liberty,,1987-03-29,36.54
freemla01w,F,73.0,175.0,Auburn,,1971-03-17,52.57
fresest01w,G,68.0,126.0,Iowa State,,1976-09-23,47.05
frettla01w,F,75.0,170.0,Georgia,,1975-06-12,48.33
friertr01w,F,74.0,186.0,Louisiana Tech,,1979-08-23,44.13
frohlli01w,F-C,75.0,185.0,,,1979-06-23,44.3
frostsh01w,C,76.0,184.0,Tennessee,,1966-12-19,56.81
futreca01w,G,70.0,154.0,Duquesne,,1982-07-10,41.25
gaithka01w,C,75.0,170.0,Notre Dame,,1975-08-13,48.16
gamblam01w,F,70.0,163.0,Arizona,,1964-12-17,58.81
ganttr01w,C,74.0,181.0,Lamar,,1971-10-10,52.0
garcibe01w,G,65.0,135.0,,,1976-09-03,47.1
gardike01w,F,73.0,168.0,Virginia Tech,,1984-05-19,39.39
gardnan01w,F-C,75.0,190.0,Howard,,1979-12-23,43.8
garnean01w,F-C,75.0,160.0,Penn State,,1979-01-05,44.76
gaydeco01w,G,69.0,150.0,Louisiana State,,1971-05-11,52.42
gaypi01w,G-F,71.0,183.0,Louisiana State,,1974-08-21,49.14
gearlka01w,G-F,73.0,184.0,Purdue,,1984-10-26,38.96
gessiki01w,F,75.0,175.0,USC,,1970-12-29,52.78
gibsoke01w,F-G,70.0,136.0,Maryland,,1976-11-10,46.92
gilbrbr01w,G,73.0,167.9273083396478,USC,,1990-08-16,33.15
gilloje01w,F-C,75.0,180.0,Mississippi,,1964-06-13,59.33
gilmous01w,G,71.0,158.0,Rutgers,,1978-08-24,45.13
gisseka01w,F,73.0,178.0,Penn State,North Carolina State,1985-07-27,38.21
givench01w,G,70.0,154.40867158271234,Middle Tennessee State,,1985-07-26,38.21
godbyli01w,F-C,78.0,163.0,Auburn,,1968-10-17,54.98
gomisem01w,G,71.0,134.0,,,1983-10-18,39.98
goodemo01w,G,66.0,130.0,Stanford,,1972-02-08,51.67
goodeti01w,F,71.0,165.0,Iowa,,1975-10-23,47.97
goodlsa01w,C,77.0,239.0,Georgia Tech,,1990-08-09,33.17
goodsad01w,F,72.0,165.0,Old Dominion,,1966-10-19,56.98
gordobr01w,F,72.0,159.0,Tennessee,,1967-04-27,56.46
goringi01w,C,79.0,225.0,North Carolina State (jr-sr),Arkansas-Fort Smith (fr-so),1983-06-07,40.34
gortmsh01w,G,70.0,158.0,South Carolina,,1979-12-07,43.84
grahama01w,C,75.0,240.0,Houston,,1970-12-18,52.81
granter01w,G,68.0,125.0,Texas Tech,,1984-06-13,39.33
gravede01w,C,77.0,212.0,Howard,,1975-09-16,48.07
graylal01w,G,68.0,176.0,California,,1987-04-21,36.47
grecomi01w,G,69.0,145.0,UCLA,,1980-03-24,43.55
greenci01w,C,77.0,183.0,Texas Tech,,1983-04-04,40.52
greenka01w,G,70.0,170.0,Connecticut,,1987-07-13,36.25
grginve01w,F,73.0,160.0,,,1975-01-13,48.74
griffke01w,F,74.0,179.0,Nebraska,,1987-07-02,36.28
griffyo01w,C-F,75.0,188.0,Florida Atlantic,,1970-03-01,53.61
groomla01w,G-F,70.0,160.0,Georgia,,1970-09-12,53.08
grubigo01w,G,71.0,165.0,,,1972-08-20,51.14
grudasa01w,F-C,76.0,185.0,,,1987-06-25,36.3
guytowa01w,F,73.0,178.0,South Florida,,1965-10-14,57.99
hagiwmi01w,G,71.0,161.0,,,1970-04-27,53.46
hairska01w,F,72.0,150.0,Temple,,1985-08-18,38.15
hallam01w,F,75.0,180.0,Washington,,1977-12-29,45.78
hallvi01w,F,73.0,180.0,Texas,,1969-10-03,54.02
hamblan01w,G,70.0,170.0,Iowa,,1976-09-30,47.03
hammobe01w,G,66.0,136.0,Colorado State,,1977-03-11,46.58
hamptky01w,F,74.0,210.0,Arizona State,,1962-11-03,60.94
hamzoro01w,G,69.0,152.0,,,1970-08-17,53.15
hardili01w,G,68.0,139.0,Duke,,1984-06-12,39.33
hardish01w,G,69.0,165.0,Louisiana Tech,,1969-06-27,54.29
harpela01w,F-C,77.0,190.0,Maryland,,1986-04-11,37.5
harriam01w,F,77.0,202.0,Xavier,,1988-01-16,35.73
harrido01w,F,75.0,190.0,Old Dominion,,1966-09-29,57.03
harrifr01w,G,72.0,154.0,Texas,,1965-03-12,58.58
harrili01w,F,73.0,164.0,Tennessee,,1971-01-02,52.77
harrokr01w,G,64.0,139.0,,,1975-03-04,48.61
haydeva01w,C,76.0,240.0,Florida,,1982-06-05,41.35
hayesti01w,G,70.0,154.40867158271234,Connecticut,,1989-09-20,34.06
haynikr01w,G,69.0,147.0,Michigan State,,1983-06-17,40.32
headde01w,G,70.0,160.0,Tennessee,,1970-08-16,53.15
hedgpch01w,G,69.0,143.0,Stanford,,1972-02-17,51.65
hemmera01w,F-C,75.0,183.96552118275574,Stanford,,1973-04-02,50.52
hendene01w,G,68.0,144.0,Texas,,1973-02-28,50.61
hendetr01w,C,75.0,200.0,Georgia,,1974-12-31,48.78
henniso01w,G,67.0,143.0,Stanford,,1969-10-04,54.02
henryan01w,F,75.0,205.0,Florida,,1986-02-13,37.66
herriam01w,C,76.0,189.0,Iowa,,1977-06-06,46.35
hibbeka01w,G-F,70.0,140.0,Louisiana State,,1977-09-29,46.03
hicksje01w,F-C,76.0,188.0,Maryland,,1971-12-02,51.86
hightal01w,G,70.0,139.0,Louisiana State,,1988-04-06,35.51
hillec01w,G,67.0,173.0,Northern Illinois,,1971-04-06,52.51
hledeko01w,G,69.0,150.0,Duquesne,,1975-03-29,48.54
hodgeda01w,G-F,73.0,170.0,St. Joseph's,,1968-01-21,55.72
hodgedo01w,G,69.0,160.0,Louisiana State,,1982-07-19,41.23
hodgero01w,G,71.0,165.0,Florida State,,1982-07-19,41.23
hodgesa01w,F-G,69.0,145.91435386796837,New Orleans,,1962-07-31,61.2
hoffmeb01w,F,74.0,215.0,USC,,1982-08-27,41.12
holdsch01w,F,74.0,172.0,Tennessee,,1977-08-09,46.17
hollake01w,G,68.0,129.0,Georgia,,1974-11-05,48.93
holliqu01w,C,77.0,201.0,Virginia Commonwealth,,1988-11-15,34.9
holmejo01w,F,70.0,150.0,Purdue,,1969-03-31,54.53
holmese01w,G-F,73.0,155.0,UNLV,,1986-06-13,37.33
holtam01w,F,72.0,168.0,Middle Tennessee State,,1985-06-07,38.34
hopeky01w,C,74.0,165.0,Miami (FL),,1977-11-23,45.88
hopsosu01w,F-C,74.0,175.0,Mars Hill,,1974-06-21,49.31
hornbal01w,G,71.0,155.0,Tennessee,,1985-10-16,37.98
houstch01w,F,72.0,189.0,Connecticut,,1986-04-10,37.5
houtsas01w,G,66.0,140.0,Georgia,,1987-12-31,35.78
howarje01w,G,66.0,130.0,North Carolina State,,1975-01-21,48.72
howarme01w,G,69.0,145.0,SW Missouri State,,1972-04-02,51.52
hudsopa01w,F,71.0,139.0,Northwestern State,,1968-09-19,55.06
humphta01w,C,75.0,190.0,Georgia,,1985-12-29,37.78
ibekwif01w,F,74.0,176.9688440726905,Arizona,,1989-10-05,34.02
irvinsa01w,F,75.0,185.0,Texas Christian,,1982-02-23,41.63
ivanyda01w,G,70.0,135.0,Florida International,,1976-03-18,47.56
iveyni01w,G,67.0,149.0,Notre Dame,,1977-09-24,46.05
jacksan01w,C,76.0,205.0,Texas,,1976-03-30,47.53
jacksde01w,F,74.0,155.0,Alabama-Birmingham,,1979-12-15,43.82
jacksgw01w,F,75.0,182.0,Tennessee,,1980-10-23,42.97
jacksla01w,F-C,77.0,187.0,,,1981-05-11,42.42
jacksta01w,F-C,75.0,179.0,Florida,,1962-12-03,60.85
jacksta02w,G,66.0,118.0,Louisiana Tech,,1978-04-22,45.47
jacksti01w,F,71.0,148.0,Iowa,,1972-04-21,51.47
jacksti02w,F,75.0,185.0,Texas,,1985-04-26,38.46
jacobam01w,G,68.0,152.0,Boston College,,1982-06-29,41.28
jacobje01w,G,68.0,130.0,Purdue,,1973-02-20,50.64
jamesta01w,F,69.0,158.0,Miami (FL),,1984-06-13,39.33
januabr01w,G,68.0,144.0,Arizona State,,1987-01-11,36.75
jekaban01w,G,69.0,180.0,,,1983-08-12,40.16
joensca01w,G-F,71.0,165.0,George Washington,,1981-02-12,42.66
johnsad01w,G,70.0,154.0,Ohio State,,1974-02-05,49.68
johnsch01w,C,75.0,185.0,Wisconsin-Green Bay,,1981-03-19,42.56
johnsda01w,C,74.0,197.0,Tennessee,,1973-02-19,50.64
johnsgl01w,F,75.0,170.0,Tennessee,,1990-07-27,33.21
johnsja01w,F,72.0,201.0,Kansas,,1979-03-16,44.57
johnsla01w,F,73.0,150.0,Memphis,,1975-08-17,48.15
johnsle01w,F,74.0,220.0,Western Kentucky,,1975-01-12,48.74
johnsni01w,G,69.0,146.0,Alabama,,1973-02-07,50.67
johnspo01w,C,75.0,165.0,Michigan,,1975-11-06,47.93
johnssh01w,G,67.0,152.0,South Carolina,,1974-08-18,49.15
johnssh02w,G,71.0,158.8518598874394,Miami,,1990-12-08,32.84
johnste01w,G,63.0,132.0,Louisiana State,,1982-09-06,41.1
johnsti01w,C,76.0,240.0,Tennessee,,1975-12-27,47.79
johnsvi01w,G-F,69.0,150.0,Louisiana Tech,,1972-04-15,51.49
jollyke01w,G,69.0,148.0,Tennessee,,1977-05-03,46.44
jonesas01w,F,74.0,196.0,Connecticut,,1980-08-01,43.19
jonesch01w,G-F,69.0,150.0,Houston,,1982-03-25,41.55
jonesja01w,G,69.0,158.0,UNC Charlotte,,1978-09-13,45.08
jonesla01w,G,73.0,180.0,Ohio State,,1977-07-24,46.21
jonesma01w,G,70.0,150.0,North Carolina,,1975-10-12,48.0
jonesme01w,G,69.0,147.0,Florida,,1973-07-21,50.22
jordapa01w,C,75.0,205.0,UNLV,,1968-04-27,55.46
joyneja01w,F,70.0,154.0,UCLA,,1962-03-03,61.61
kaplaan01w,C,77.0,180.0,Stanford,,1973-04-22,50.47
kausaan01w,F,72.0,155.0,Emporia State,,1970-11-30,52.86
kellycr01w,F,74.0,190.0,Western Kentucky,,1986-09-15,37.07
kingbsu01w,G,67.0,135.0,Stanford,,1981-07-27,42.21
kingija01w,G,68.0,150.0,,,1976-01-20,47.72
kizerly01w,F-C,76.0,215.0,Maryland,,1990-04-04,33.52
klimezu01w,F,74.0,181.0,Vanderbilt,,1979-01-21,44.72
kobryew01w,F-C,75.0,210.0,,,1982-05-07,41.43
koehnla01w,G,68.0,145.0,Kansas State,,1982-05-13,41.41
korstil01w,G,70.0,160.0,,,1980-05-30,43.36
kossgr01w,F,73.0,145.0,Montana,,1974-06-12,49.33
kostaan01w,G,67.0,137.0,,,1978-03-26,45.54
kostita01w,F,73.0,163.0,Oregon State,,1972-11-10,50.92
kraayca01w,F,76.0,180.0,Oregon,,1981-09-30,42.03
kubikni01w,G,69.0,145.0,Nebraska,,1978-03-01,45.61
kukloan01w,G,72.0,150.0,,,1971-07-16,52.24
laceyal01w,G,72.0,159.0,Iowa State,,1987-12-26,35.79
lacyje01w,F,75.0,175.0,Pepperdine,,1983-03-21,40.56
lacyna01w,G,70.0,165.0,UTEP (sr),Texas Christian (fr-jr),1985-07-08,38.26
lacyve01w,C,76.0,234.0,Louisiana Tech,,1967-02-09,56.67
lambesh01w,G,67.0,125.0,Baylor,Grayson County (JC),1980-07-21,43.22
lambmo01w,C,77.0,206.0,USC,,1964-10-11,59.0
langeme01w,F-C,78.0,205.0,UNLV,,1969-04-28,54.45
langhcr01w,F-C,74.0,184.0,Maryland,,1986-10-27,36.96
langja01w,F,72.0,185.0,Colorado,,1972-06-23,51.3
larakr01w,G,68.0,130.0,,,1969-09-30,54.03
