coachID,year,tmID,stint,won,lost,W/L Ratio
dunnli99wc,1,SEA,0,6,26,0.23076923076923078
dunnli99wc,2,SEA,0,10,22,0.45454545454545453
dunnli99wc,3,SEA,0,17,15,1.1333333333333333
dunnli99wc,9,IND,0,17,17,1.0
dunnli99wc,10,IND,0,22,12,1.8333333333333333
dunntr01wc,1,CHA,0,8,24,0.3333333333333333
fortnne99w,2,IND,0,10,22,0.45454545454545453
fortnne99w,3,IND,0,16,16,1.0
fortnne99w,4,IND,0,16,18,0.8888888888888888
gaineco01w,9,PHO,0,16,18,0.8888888888888888
gaineco01w,10,PHO,0,23,11,2.090909090909091
gilloje01w,10,MIN,0,14,20,0.7
grafca99wc,5,PHO,0,17,17,1.0
grafca99wc,6,PHO,0,16,18,0.8888888888888888
hargrli99w,1,POR,0,10,22,0.45454545454545453
hargrli99w,2,POR,0,11,21,0.5238095238095238
hargrli99w,3,POR,0,16,16,1.0
harveca99w,2,UTA,2,14,5,2.8
harveca99w,3,UTA,0,20,12,1.6666666666666667
harveca99w,4,SAS,1,6,16,0.375
hugheda99w,1,CLE,0,17,15,1.1333333333333333
hugheda99w,2,CLE,0,22,10,2.2
hugheda99w,3,CLE,0,10,22,0.45454545454545453
hugheda99w,4,CLE,0,17,17,1.0
hugheda99w,6,SAS,0,7,27,0.25925925925925924
hugheda99w,7,SAS,0,13,21,0.6190476190476191
hugheda99w,8,SAS,0,20,14,1.4285714285714286
hugheda99w,9,SAS,0,24,10,2.4
hugheda99w,10,SAS,0,15,19,0.7894736842105263
jenkica99w,7,MIN,2,1,10,0.1
kenlaje99w,9,WAS,2,2,10,0.2
keyst99wc,9,CHI,0,12,22,0.5454545454545454
keyst99wc,10,CHI,0,16,18,0.8888888888888888
laceytr99w,4,CHA,0,18,16,1.125
laceytr99w,5,CHA,0,16,18,0.8888888888888888
laceytr99w,6,CHA,1,3,21,0.14285714285714285
laimbbi01w,3,DET,2,9,13,0.6923076923076923
laimbbi01w,4,DET,0,25,9,2.7777777777777777
laimbbi01w,5,DET,0,17,17,1.0
laimbbi01w,6,DET,0,16,18,0.8888888888888888
laimbbi01w,7,DET,0,23,11,2.090909090909091
laimbbi01w,8,DET,0,24,10,2.4
laimbbi01w,9,DET,0,22,12,1.8333333333333333
laimbbi01w,10,DET,1,1,2,0.5
liebena01w,1,DET,0,14,18,0.7777777777777778
maherto99w,2,WAS,0,10,22,0.45454545454545453
mahorri01w,10,DET,2,17,14,1.2142857142857142
mcconsu01w,4,MIN,0,18,16,1.125
mcconsu01w,5,MIN,0,18,16,1.125
mcconsu01w,6,MIN,0,14,20,0.7
mcconsu01w,7,MIN,1,9,14,0.6428571428571429
mchugma99w,2,SAC,2,14,6,2.3333333333333335
mchugma99w,3,SAC,0,14,18,0.7777777777777778
mchugma99w,4,SAC,1,7,11,0.6363636363636364
meadoma99w,9,ATL,0,4,30,0.13333333333333333
meadoma99w,10,ATL,0,18,16,1.125
millech99w,1,PHO,0,20,12,1.6666666666666667
overtbo99w,8,CHI,0,14,20,0.7
peckca99wc,1,ORL,0,16,16,1.0
peckca99wc,2,ORL,0,13,19,0.6842105263157895
plankju99w,10,WAS,0,16,18,0.8888888888888888
rollitr01w,8,WAS,2,16,14,1.1428571428571428
rollitr01w,9,WAS,1,8,14,0.5714285714285714
rothsro99w,1,MIA,0,13,19,0.6842105263157895
rothsro99w,2,MIA,0,20,12,1.6666666666666667
rothsro99w,3,MIA,0,15,17,0.8823529411764706
sharpli99w,3,PHO,2,5,17,0.29411764705882354
shumajo01w,4,PHO,0,8,26,0.3076923076923077
stanlma99w,3,WAS,0,17,15,1.1333333333333333
stanlma99w,4,WAS,0,9,25,0.36
thibami99w,4,CON,0,18,16,1.125
thibami99w,5,CON,0,18,16,1.125
thibami99w,6,CON,0,26,8,3.25
thibami99w,7,CON,0,26,8,3.25
thibami99w,8,CON,0,18,16,1.125
thibami99w,9,CON,0,21,13,1.6153846153846154
thibami99w,10,CON,0,16,18,0.8888888888888888
thompka99w,5,LAS,2,11,3,3.6666666666666665
thompka99w,8,HOU,0,13,21,0.6190476190476191
thompka99w,9,HOU,0,17,17,1.0
vandehe99w,3,MIN,2,4,9,0.4444444444444444
walkeda01w,1,WAS,2,5,7,0.7142857142857143
weisery99w,5,LAS,2,11,3,3.6666666666666665
westhpa99w,7,PHO,0,18,16,1.125
westhpa99w,8,PHO,0,23,11,2.090909090909091
whisejo99w,4,SAC,2,12,4,3.0
whisejo99w,5,SAC,0,18,16,1.125
whisejo99w,6,SAC,0,25,9,2.7777777777777777
whisejo99w,7,SAC,0,21,13,1.6153846153846154
whisejo99w,10,SAC,2,9,12,0.75
willifr99w,1,UTA,0,18,14,1.2857142857142858
willifr99w,2,UTA,1,5,8,0.625
willigr99w,2,DET,0,10,22,0.45454545454545453
willigr99w,3,DET,1,0,10,0.0
wintebr01w,5,IND,0,15,19,0.7894736842105263
wintebr01w,6,IND,0,21,13,1.6153846153846154
wintebr01w,7,IND,0,21,13,1.6153846153846154
wintebr01w,8,IND,0,21,13,1.6153846153846154
zierddo99w,8,MIN,0,10,24,0.4166666666666667
zierddo99w,9,MIN,0,16,18,0.8888888888888888
