year,tmID,confID,seed,results,playoff,o_fga,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,win_ratio,homeW_ratio,awayW_ratio,min,o_fg%,o_ft%,o_3p%,d_fg%,d_ft%,d_3p%
4,DET,EA,1,label4,Y,2004,882,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,0.735,0.765,0.706,6900,45.01,70.75,38.7,39.85,74.1,29.76
5,DET,EA,3,label1,Y,2097,792,209,397,773,1170,564,648,277,513,148,2366,860,2098,470,609,191,533,325,730,1055,515,728,289,496,131,2381,0.5,0.471,0.529,6850,41.68,70.2,29.67,40.99,77.18,35.83
6,DET,EA,4,label1,Y,2060,774,238,412,803,1215,474,761,241,571,155,2247,784,1945,565,754,154,456,273,745,1018,473,744,272,520,136,2287,0.471,0.706,0.235,6925,40.34,65.76,31.93,40.31,74.93,33.77
7,DET,EA,2,label4,Y,2220,746,414,406,880,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,324,760,1084,474,733,275,506,108,2384,0.676,0.824,0.529,6825,41.4,74.13,32.85,38.8,75.36,31.19
8,DET,EA,1,label3,Y,2261,785,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,0.706,0.706,0.706,6850,42.99,75.8,35.75,39.57,76.18,33.28
9,DET,EA,1,label4,Y,2295,744,476,405,843,1248,604,724,278,496,118,2672,872,2151,563,740,215,616,324,761,1085,520,762,229,572,119,2522,0.647,0.824,0.471,6875,42.44,74.73,35.29,40.54,76.08,34.9
10,DET,EA,3,label2,Y,2277,721,436,373,853,1226,575,766,261,546,97,2652,902,2201,632,813,208,611,320,781,1101,524,716,279,531,110,2644,0.529,0.647,0.412,6975,43.04,74.76,35.09,40.98,77.74,34.04
1,HOU,WE,2,label4,Y,1894,634,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0.844,0.875,0.812,6475,47.04,82.18,35.03,40.56,72.83,29.67
2,HOU,WE,4,label1,Y,1908,539,435,348,710,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,1994,0.594,0.688,0.5,6450,39.15,76.99,31.72,39.3,71.83,33.33
3,HOU,WE,2,label1,Y,1778,585,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,0.75,0.875,0.625,6425,42.46,77.44,32.83,37.5,73.23,30.88
4,HOU,WE,2,label1,Y,1916,600,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,0.588,0.824,0.353,6825,43.22,78.83,33.43,40.59,72.54,33.8
5,HOU,WE,6,label0,N,1933,615,358,311,724,1035,451,555,242,484,107,2177,834,2008,391,531,152,434,335,720,1055,539,655,258,471,129,2211,0.382,0.529,0.235,6850,41.28,74.47,34.36,41.53,73.63,35.02
6,HOU,WE,3,label2,Y,1920,690,205,276,684,960,467,581,246,425,105,2309,848,1944,419,559,148,423,274,687,961,541,685,197,481,111,2263,0.559,0.647,0.471,6875,44.79,76.38,30.24,43.62,74.96,34.99
7,HOU,WE,3,label1,Y,2098,678,472,303,822,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,2449,0.529,0.706,0.353,6925,44.23,71.09,35.81,41.58,72.36,29.84
8,HOU,WE,5,label0,N,2149,721,365,374,770,1144,558,655,289,633,109,2510,924,2190,578,719,202,581,342,721,1063,588,677,310,568,160,2628,0.382,0.412,0.353,6800,42.58,76.84,34.52,42.19,80.39,34.77
9,HOU,WE,5,label0,N,2213,736,481,376,803,1179,556,728,295,599,120,2561,903,2186,582,781,218,580,349,743,1092,542,744,313,555,165,2606,0.5,0.765,0.235,6925,41.71,76.49,31.6,41.31,74.52,37.59
1,IND,EA,7,label0,N,1838,569,521,285,647,932,501,642,271,518,126,2213,839,1868,503,669,109,358,321,633,954,528,612,267,476,75,2290,0.281,0.312,0.25,6425,43.31,75.22,37.04,44.91,75.19,30.45
2,IND,EA,6,label0,N,1822,591,446,286,649,935,458,600,242,491,118,2153,853,1899,412,583,131,367,306,660,966,565,616,256,466,140,2249,0.312,0.438,0.188,6475,41.82,79.86,35.2,44.92,70.67,35.69
3,IND,EA,4,label1,Y,1825,580,543,315,633,948,447,559,268,438,100,2097,804,1817,359,503,162,464,288,644,932,507,647,226,470,145,2129,0.5,0.625,0.375,6425,40.05,78.45,33.15,44.25,71.37,34.91
4,IND,EA,5,label0,N,2011,563,600,334,654,988,539,668,299,474,121,2337,837,1908,490,638,157,421,309,677,986,570,631,227,512,170,2321,0.471,0.647,0.294,6875,41.72,79.75,35.0,43.87,76.8,37.29
5,IND,EA,6,label0,N,2011,580,481,396,705,1101,555,639,261,486,134,2198,804,1865,516,695,121,352,281,688,969,514,603,268,466,162,2245,0.441,0.588,0.294,6850,39.33,77.59,34.51,43.11,74.24,34.38
6,IND,EA,2,label2,Y,1958,595,468,341,671,1012,493,668,336,477,95,2170,775,1798,460,642,123,367,279,711,990,435,644,234,558,113,2133,0.618,0.824,0.412,6925,40.04,75.97,32.05,43.1,71.65,33.51
7,IND,EA,3,label1,Y,2144,676,551,339,755,1094,501,606,354,528,93,2435,883,2043,413,559,137,444,288,773,1061,507,685,259,617,105,2316,0.618,0.706,0.529,6850,40.72,76.63,31.03,43.22,73.88,30.86
8,IND,EA,2,label2,Y,2167,617,546,341,812,1153,511,646,308,589,136,2480,881,2192,450,608,158,483,369,795,1164,475,663,280,610,114,2370,0.618,0.706,0.529,6875,41.86,77.47,34.43,40.19,74.01,32.71
9,IND,EA,4,label1,Y,2179,656,662,349,778,1127,500,727,324,585,165,2473,891,2127,540,706,135,415,338,833,1171,477,659,294,608,130,2457,0.5,0.647,0.353,6950,40.2,75.46,34.14,41.89,76.49,32.53
10,IND,EA,1,label3,Y,2212,746,637,342,780,1122,527,692,373,531,117,2606,909,2118,529,692,154,483,318,849,1167,498,700,271,638,116,2501,0.647,0.824,0.471,6925,40.24,82.17,33.44,42.92,76.45,31.88
1,LAS,WE,1,label2,Y,1956,693,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0.875,0.938,0.812,6450,44.02,78.64,33.19,39.53,71.53,29.54
2,LAS,WE,1,label4,Y,2031,594,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,0.875,1.0,0.75,6475,45.1,75.59,36.7,39.24,76.05,31.84
3,LAS,WE,1,label4,Y,2002,645,515,329,814,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,2235,0.781,0.75,0.812,6475,44.51,73.8,37.67,39.02,73.96,31.29
4,LAS,WE,1,label3,Y,2140,678,528,336,813,1149,587,682,242,470,161,2499,866,2147,504,702,196,540,316,789,1105,572,654,241,468,127,2432,0.706,0.647,0.765,6900,41.78,79.2,32.95,40.34,71.79,36.3
5,LAS,WE,1,label1,Y,2069,722,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0.735,0.882,0.588,6975,43.69,73.41,37.92,38.9,73.19,34.05
6,LAS,WE,4,label1,Y,2042,630,387,321,683,1004,551,737,264,492,136,2326,818,1955,527,709,182,519,332,709,1041,567,654,247,544,115,2345,0.5,0.647,0.353,6800,42.75,72.38,32.04,41.84,74.33,35.07
7,LAS,WE,1,label2,Y,2195,726,377,350,852,1202,610,679,296,534,129,2575,873,2184,534,721,196,570,336,746,1082,565,636,284,556,128,2476,0.735,0.882,0.588,6825,43.83,74.38,29.44,39.97,74.06,34.39
8,LAS,WE,7,label0,N,2305,627,456,356,783,1139,554,732,245,571,107,2533,954,2212,609,800,191,537,343,836,1179,616,605,290,550,137,2708,0.294,0.294,0.294,6900,40.78,78.63,35.09,43.13,76.12,35.57
9,LAS,WE,3,label2,Y,2248,717,485,386,896,1282,613,713,251,608,216,2598,888,2310,562,751,185,547,359,768,1127,513,717,303,523,141,2523,0.588,0.706,0.471,7000,42.44,75.17,31.13,38.44,74.83,33.82
10,LAS,WE,3,label2,Y,2264,550,512,365,883,1248,587,583,217,568,166,2533,903,2262,479,623,213,636,320,730,1050,516,622,300,463,115,2498,0.529,0.647,0.412,6925,42.98,79.09,29.69,39.92,76.89,33.49
1,MIA,EA,6,label0,N,1774,664,310,365,595,960,415,707,272,524,88,1831,715,1676,454,627,117,315,275,648,923,416,661,247,528,118,2001,0.406,0.562,0.25,6475,36.47,68.07,27.42,42.66,72.41,37.14
2,MIA,EA,3,label1,Y,1826,469,295,292,651,943,467,602,300,448,153,1957,679,1725,420,588,120,395,301,667,968,388,538,259,512,87,1898,0.625,0.625,0.625,6575,41.29,75.91,31.53,39.36,71.43,30.38
3,MIA,EA,6,label0,N,1856,529,389,296,573,869,476,643,274,435,96,2046,745,1722,469,614,129,382,278,693,971,446,588,222,515,104,2088,0.469,0.562,0.375,6475,41.7,69.75,33.16,43.26,76.38,33.77
1,MIN,WE,6,label0,N,1831,592,571,258,612,870,495,690,237,497,63,2193,755,1758,514,702,164,481,300,677,977,472,707,275,547,130,2188,0.469,0.5,0.438,6425,42.05,75.84,35.73,42.95,73.22,34.1
2,MIN,WE,6,label0,N,1810,727,552,308,693,1001,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,1016,511,719,259,470,126,2156,0.375,0.375,0.375,6475,37.07,76.89,31.88,39.02,79.97,32.42
3,MIN,WE,8,label0,N,1775,578,500,309,650,959,466,617,226,529,102,2003,747,1807,469,613,141,389,302,612,914,495,618,273,465,117,2104,0.312,0.438,0.188,6475,40.96,66.26,33.2,41.34,76.51,36.25
4,MIN,WE,4,label1,Y,1978,624,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,0.529,0.647,0.412,6850,44.24,72.12,34.35,42.48,74.72,31.61
5,MIN,WE,3,label1,Y,1900,640,542,332,724,1056,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,1036,508,676,333,502,133,2190,0.529,0.647,0.412,6850,40.37,70.94,32.66,40.77,73.24,27.88
6,MIN,WE,6,label0,N,1946,601,492,310,715,1025,531,624,258,536,127,2211,862,2019,435,592,129,376,344,711,1055,537,665,275,487,144,2288,0.412,0.647,0.176,6850,41.16,72.71,34.96,42.69,73.48,34.31
7,MIN,WE,7,label0,N,2211,681,419,340,804,1144,491,654,193,530,113,2523,1004,2314,548,719,179,542,372,832,1204,625,633,308,438,124,2735,0.294,0.471,0.118,6825,42.74,71.22,35.32,43.39,76.22,33.03
8,MIN,WE,6,label0,N,2355,674,496,397,785,1182,596,713,238,561,95,2636,988,2195,614,785,162,461,318,800,1118,565,645,279,529,147,2752,0.294,0.412,0.176,6875,41.23,78.78,32.86,45.01,78.22,35.14
9,MIN,WE,7,label0,N,2303,864,413,353,792,1145,557,751,309,472,131,2767,974,2220,612,809,161,486,350,862,1212,587,748,248,579,140,2721,0.471,0.529,0.412,6900,43.03,75.46,32.2,43.87,75.65,33.13
10,MIN,WE,5,label0,N,2257,766,695,325,762,1087,509,693,301,513,128,2731,1041,2260,550,711,195,510,317,848,1165,589,694,250,543,140,2827,0.412,0.529,0.294,6875,42.05,77.15,34.82,46.06,77.36,38.24
1,NYL,EA,1,label3,Y,1815,567,396,288,652,940,477,617,246,474,102,2148,741,1822,437,590,116,420,320,647,967,462,645,223,479,94,2035,0.625,0.75,0.5,6425,43.64,75.66,34.09,40.67,74.07,27.62
2,NYL,EA,2,label2,Y,1828,500,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,0.656,0.812,0.5,6400,45.57,67.2,38.0,42.3,72.03,33.76
3,NYL,EA,1,label3,Y,1740,567,400,260,610,870,496,638,261,458,100,2089,691,1733,484,645,149,434,312,649,961,410,597,228,478,88,2015,0.562,0.625,0.5,6450,44.37,70.55,36.25,39.87,75.04,34.33
4,NYL,EA,6,label0,N,1923,537,500,271,686,957,527,587,262,470,128,2243,821,1959,459,581,155,467,326,736,1062,506,614,269,480,96,2256,0.471,0.647,0.294,6850,42.9,76.72,36.2,41.91,79.0,33.19
5,NYL,EA,2,label2,Y,1932,531,617,263,741,1004,539,587,209,506,124,2252,867,2096,431,579,132,416,371,730,1101,517,589,288,430,123,2297,0.529,0.647,0.412,6900,42.39,74.95,35.01,41.36,74.44,31.73
6,NYL,EA,3,label1,Y,1860,552,605,242,732,974,498,613,214,462,112,2316,859,2012,442,608,125,398,345,685,1030,473,590,275,411,86,2285,0.529,0.588,0.471,6925,44.52,81.88,34.38,42.69,72.7,31.41
7,NYL,EA,5,label0,N,2069,650,645,285,736,1021,475,674,252,576,112,2372,966,2153,553,722,171,461,341,832,1173,508,668,270,485,134,2656,0.324,0.412,0.235,6875,39.73,78.77,33.49,44.87,76.59,37.09
8,NYL,EA,4,label1,Y,2087,580,653,287,788,1075,500,618,289,612,109,2413,920,2223,471,619,190,589,378,837,1215,509,608,321,562,115,2501,0.471,0.588,0.353,6850,41.69,74.14,37.21,41.39,76.09,32.26
9,NYL,EA,3,label2,Y,2168,653,706,327,778,1105,551,655,290,547,117,2573,924,2163,516,674,174,485,352,823,1175,496,625,285,559,109,2538,0.559,0.647,0.471,6900,42.07,75.04,36.69,42.72,76.56,35.88
10,NYL,EA,7,label0,N,2168,582,710,280,802,1082,526,637,276,543,121,2512,906,2157,531,673,192,554,333,869,1202,482,590,269,548,124,2535,0.382,0.471,0.294,6900,41.51,78.69,35.77,42.0,78.9,34.66
1,ORL,EA,3,label1,Y,1911,546,424,319,606,925,473,583,255,486,130,2208,851,1964,378,495,153,450,348,669,1017,536,637,264,500,108,2233,0.5,0.688,0.312,6500,43.59,72.71,34.2,43.33,76.36,34.0
2,ORL,EA,5,label0,N,1914,587,532,356,614,970,452,643,320,532,125,2140,806,1831,436,605,157,438,316,659,975,534,600,298,546,114,2205,0.406,0.625,0.188,6450,40.13,73.25,32.71,44.02,72.07,35.84
3,ORL,EA,5,label0,N,1914,646,461,320,595,915,446,669,295,456,113,2254,804,1862,491,668,156,422,362,684,1046,519,637,251,541,108,2255,0.5,0.625,0.375,6525,42.22,76.32,31.45,43.18,73.5,36.97
1,PHO,WE,4,label1,Y,1800,661,394,275,619,894,465,630,285,429,91,2243,773,1828,421,574,135,416,334,635,969,486,699,224,531,91,2102,0.625,0.688,0.562,6425,44.61,77.61,31.47,42.29,73.34,32.45
2,PHO,WE,5,label0,N,1894,587,313,300,642,942,514,625,292,519,138,2064,785,1892,462,584,137,391,333,698,1031,524,603,283,517,127,2169,0.406,0.625,0.188,6450,40.5,73.08,32.27,41.49,79.11,35.04
3,PHO,WE,7,label0,N,1889,538,328,292,626,918,427,623,267,501,94,2091,850,1870,436,608,155,388,309,692,1001,532,600,268,491,127,2291,0.344,0.625,0.062,6400,41.98,75.28,30.49,45.45,71.71,39.95
4,PHO,WE,7,label0,N,2095,556,349,357,643,1000,461,664,310,479,111,2097,834,1867,466,626,136,371,303,811,1114,509,667,275,610,146,2270,0.235,0.353,0.118,6925,38.23,68.17,33.24,44.67,74.44,36.66
5,PHO,WE,5,label0,N,1922,598,519,264,652,916,501,748,282,464,137,2300,784,1845,534,724,133,348,309,711,1020,456,660,226,536,137,2235,0.5,0.588,0.412,6825,42.98,76.25,36.99,42.49,73.76,38.22
6,PHO,WE,5,label0,N,1994,693,539,342,720,1062,549,697,243,517,179,2361,855,1993,523,720,121,332,319,705,1024,470,672,265,483,112,2354,0.471,0.647,0.294,6800,41.42,76.62,33.02,42.9,72.64,36.45
7,PHO,WE,5,label0,N,2434,684,722,334,811,1145,640,741,275,442,127,2960,1023,2360,630,852,203,618,408,875,1283,578,669,231,537,126,2879,0.529,0.588,0.471,6900,44.33,78.51,36.7,43.35,73.94,32.85
8,PHO,WE,1,label4,Y,2419,754,802,279,873,1152,683,658,285,486,159,3025,1022,2526,570,716,290,762,445,945,1390,628,684,244,595,109,2904,0.676,0.706,0.647,6850,43.94,81.7,35.29,40.46,79.61,38.06
9,PHO,WE,6,label0,N,2485,773,701,375,851,1226,560,794,232,489,156,3010,1036,2460,694,932,243,695,440,858,1298,650,717,234,500,129,3009,0.471,0.588,0.353,6825,43.02,83.05,32.81,42.11,74.46,34.96
10,PHO,WE,1,label4,Y,2454,752,665,284,906,1190,625,740,225,500,181,3156,1094,2582,638,851,205,608,421,864,1285,607,671,260,460,143,3031,0.676,0.706,0.647,6900,45.97,85.51,38.65,42.37,74.97,33.72
1,POR,WE,7,label0,N,1828,697,433,309,627,936,480,761,265,593,93,2155,788,1847,577,766,150,447,307,646,953,487,729,277,531,130,2303,0.312,0.375,0.25,6525,41.63,70.01,33.49,42.66,75.33,33.56
2,POR,WE,7,label0,N,1891,612,519,300,696,996,451,633,244,500,106,2088,791,1944,461,656,159,410,343,763,1106,501,643,293,474,144,2202,0.344,0.375,0.312,6525,38.76,73.53,33.14,40.69,70.27,38.78
3,POR,WE,5,label0,N,1951,564,391,307,641,948,492,623,239,493,120,2195,819,1885,463,647,126,348,334,678,1012,486,616,272,508,139,2227,0.5,0.562,0.438,6475,42.49,72.7,32.48,43.45,71.56,36.21
1,SAC,WE,3,label1,Y,1993,650,459,388,650,1038,567,571,332,458,157,2343,811,1918,410,544,144,418,320,631,951,503,600,226,524,116,2176,0.656,0.812,0.5,6400,43.95,69.08,30.94,42.28,75.37,34.45
2,SAC,WE,2,label2,Y,1974,618,423,374,723,1097,558,588,276,494,158,2294,804,2003,415,578,116,400,343,662,1005,496,616,261,481,143,2139,0.625,0.75,0.5,6525,42.4,73.95,38.53,40.14,71.8,29.0
3,SAC,WE,6,label0,N,1945,653,395,301,648,949,500,675,247,456,109,2166,815,1944,515,681,149,453,352,723,1075,493,633,233,496,128,2294,0.438,0.625,0.25,6575,40.1,75.65,28.35,41.92,75.62,32.89
4,SAC,WE,3,label2,Y,2107,626,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,0.559,0.706,0.412,6825,40.91,67.89,31.71,40.98,72.86,31.91
5,SAC,WE,4,label2,Y,2072,604,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,0.529,0.588,0.471,6900,42.18,72.02,35.34,42.9,75.12,35.15
6,SAC,WE,1,label4,Y,1986,721,360,369,674,1043,527,684,304,500,108,2329,751,1823,478,653,113,376,273,694,967,463,723,235,622,132,2093,0.735,0.882,0.588,6800,42.95,68.52,35.83,41.2,73.2,30.05
7,SAC,WE,2,label3,Y,2190,741,461,418,720,1138,509,670,330,542,88,2537,872,2021,504,661,156,507,294,725,1019,507,687,244,633,143,2404,0.618,0.824,0.412,6875,41.96,73.14,34.06,43.15,76.25,30.77
8,SAC,WE,3,label1,Y,2214,745,429,452,723,1175,537,642,325,611,101,2527,891,2081,512,664,186,547,308,718,1026,542,689,274,649,141,2480,0.559,0.706,0.412,6950,40.7,76.78,35.66,42.82,77.11,34.0
9,SAC,WE,4,label1,Y,2159,816,438,388,721,1109,473,690,319,586,77,2545,958,2128,469,622,186,542,308,767,1075,581,759,267,624,206,2571,0.529,0.765,0.294,6800,40.9,74.88,38.36,45.02,75.4,34.32
10,SAC,WE,6,label0,N,2194,744,389,391,763,1154,540,645,289,584,98,2610,994,2221,479,586,223,604,326,702,1028,627,704,262,576,147,2690,0.353,0.412,0.294,6850,43.12,78.76,33.93,44.75,81.74,36.92
4,SAS,WE,6,label0,N,2068,736,315,350,795,1145,428,728,187,513,167,2215,867,2176,544,745,149,482,389,783,1172,530,669,275,424,140,2427,0.353,0.529,0.176,6825,38.3,73.1,29.52,39.84,73.02,30.91
5,SAS,WE,7,label0,N,1940,628,247,302,701,1003,493,628,272,513,106,2191,888,2003,416,564,172,469,324,710,1034,575,624,280,492,129,2364,0.265,0.353,0.176,6875,41.86,77.71,31.98,44.33,73.76,36.67
6,SAS,WE,7,label0,N,1833,652,339,256,690,946,433,650,195,535,90,2141,898,2059,463,611,142,408,351,704,1055,563,685,283,429,148,2401,0.206,0.294,0.118,6800,41.68,77.15,32.45,43.61,75.78,34.8
7,SAS,WE,6,label0,N,2255,672,556,354,814,1168,540,610,246,488,83,2523,974,2262,490,640,165,459,372,865,1237,560,641,254,480,129,2603,0.382,0.353,0.412,6800,40.58,75.0,33.99,43.06,76.56,35.95
8,SAS,WE,2,label2,Y,2176,577,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,0.588,0.529,0.647,6875,42.42,80.42,36.57,42.26,76.89,32.38
9,SAS,WE,1,label3,Y,2080,694,539,246,847,1093,601,602,272,525,150,2546,904,2271,471,634,139,483,389,817,1206,500,666,278,528,109,2418,0.706,0.882,0.529,6850,43.32,80.84,33.95,39.81,74.29,28.78
